,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,song_title,target,Unnamed: 0
35,0.254,https://api.spotify.com/v1/audio-analysis/5xyv8c1XrpwElqySsaWEnQ,0.725,114375,0.28,5xyv8c1XrpwElqySsaWEnQ,0.611,8,0.104,-16.393,1,0.321,80.015,4,https://api.spotify.com/v1/tracks/5xyv8c1XrpwElqySsaWEnQ,audio_features,spotify:track:5xyv8c1XrpwElqySsaWEnQ,0.67,Mujo,Nature Chill,1,
36,0.833,https://api.spotify.com/v1/audio-analysis/6JoXVpSpbDmXXfLcgWRYDS,0.555,141619,0.418,6JoXVpSpbDmXXfLcgWRYDS,0.905,4,0.0458,-12.948,0,0.0376,99.981,4,https://api.spotify.com/v1/tracks/6JoXVpSpbDmXXfLcgWRYDS,audio_features,spotify:track:6JoXVpSpbDmXXfLcgWRYDS,0.151,SPEECHLESS,Myself,1,
37,0.396,https://api.spotify.com/v1/audio-analysis/7vQ2imuLnoKVXr44CVIrq0,0.882,120935,0.188,7vQ2imuLnoKVXr44CVIrq0,0.828,0,0.0977,-8.841,1,0.304,86.684,4,https://api.spotify.com/v1/tracks/7vQ2imuLnoKVXr44CVIrq0,audio_features,spotify:track:7vQ2imuLnoKVXr44CVIrq0,0.79,Slim.,crimson,1,
38,0.549,https://api.spotify.com/v1/audio-analysis/56ir9LGNYpV3O4U5ShDvn9,0.566,113468,0.125,56ir9LGNYpV3O4U5ShDvn9,0.543,11,0.125,-9.77,0,0.136,128.428,5,https://api.spotify.com/v1/tracks/56ir9LGNYpV3O4U5ShDvn9,audio_features,spotify:track:56ir9LGNYpV3O4U5ShDvn9,0.524,BluntOne,Ghost Train Haze,1,
39,0.664,https://api.spotify.com/v1/audio-analysis/726ePudxFD6qS1mg4B0QzQ,0.624,94443,0.221,726ePudxFD6qS1mg4B0QzQ,0.000611,0,0.371,-7.367,1,0.252,79.949,4,https://api.spotify.com/v1/tracks/726ePudxFD6qS1mg4B0QzQ,audio_features,spotify:track:726ePudxFD6qS1mg4B0QzQ,0.43,Kupla,Panama,1,
40,0.943,https://api.spotify.com/v1/audio-analysis/1yM7uqRe7iIvVvZdqamAQr,0.708,112748,0.718,1yM7uqRe7iIvVvZdqamAQr,0.73,0,0.215,-13.72,1,0.204,74.714,4,https://api.spotify.com/v1/tracks/1yM7uqRe7iIvVvZdqamAQr,audio_features,spotify:track:1yM7uqRe7iIvVvZdqamAQr,0.906,Graves,Hermit,1,
41,0.152,https://api.spotify.com/v1/audio-analysis/1pHgIBWGCrXqTpBnZmQSP3,0.667,117231,0.25,1pHgIBWGCrXqTpBnZmQSP3,0.887,11,0.115,-14.077,0,0.159,172.008,4,https://api.spotify.com/v1/tracks/1pHgIBWGCrXqTpBnZmQSP3,audio_features,spotify:track:1pHgIBWGCrXqTpBnZmQSP3,0.636,Sumwun,Men Cry,1,
42,0.823,https://api.spotify.com/v1/audio-analysis/65Be02rQwB2iCeo904dwWZ,0.552,76125,0.468,65Be02rQwB2iCeo904dwWZ,0.14,11,0.122,-14.911,1,0.0747,86.788,4,https://api.spotify.com/v1/tracks/65Be02rQwB2iCeo904dwWZ,audio_features,spotify:track:65Be02rQwB2iCeo904dwWZ,0.118,Suhm.Else,Layte,1,
43,0.757,https://api.spotify.com/v1/audio-analysis/1C6PddgvtluZvd8WTLaYA1,0.868,130909,0.305,1C6PddgvtluZvd8WTLaYA1,0.929,11,0.115,-8.667,1,0.0869,88.154,4,https://api.spotify.com/v1/tracks/1C6PddgvtluZvd8WTLaYA1,audio_features,spotify:track:1C6PddgvtluZvd8WTLaYA1,0.656,Ajmw,Bloom,1,
44,0.47,https://api.spotify.com/v1/audio-analysis/3yikhIABtuEe5tCdDzwfQT,0.718,102857,0.694,3yikhIABtuEe5tCdDzwfQT,0.884,4,0.144,-7.288,0,0.218,167.994,4,https://api.spotify.com/v1/tracks/3yikhIABtuEe5tCdDzwfQT,audio_features,spotify:track:3yikhIABtuEe5tCdDzwfQT,0.672,Flavors,Stardust,1,
45,0.586,https://api.spotify.com/v1/audio-analysis/1lDuKuXkQ0ZTVXXhUXyCZB,0.872,120000,0.142,1lDuKuXkQ0ZTVXXhUXyCZB,0.0752,9,0.111,-10.473,0,0.537,88.171,4,https://api.spotify.com/v1/tracks/1lDuKuXkQ0ZTVXXhUXyCZB,audio_features,spotify:track:1lDuKuXkQ0ZTVXXhUXyCZB,0.528,MF Eistee,chimney,1,
46,0.822,https://api.spotify.com/v1/audio-analysis/5zybRMyoCCQrlWH3KAsiy4,0.639,95425,0.126,5zybRMyoCCQrlWH3KAsiy4,0.915,11,0.103,-16.291,1,0.0759,80.104,4,https://api.spotify.com/v1/tracks/5zybRMyoCCQrlWH3KAsiy4,audio_features,spotify:track:5zybRMyoCCQrlWH3KAsiy4,0.86,mindbody&beats,a.r.,1,
47,0.963,https://api.spotify.com/v1/audio-analysis/3yXsK4rynlr8VZmaZ3hGi5,0.396,132966,0.21,3yXsK4rynlr8VZmaZ3hGi5,0.741,5,0.114,-15.533,0,0.0793,177.889,3,https://api.spotify.com/v1/tracks/3yXsK4rynlr8VZmaZ3hGi5,audio_features,spotify:track:3yXsK4rynlr8VZmaZ3hGi5,0.194,Xori,Dreamin,1,
48,0.664,https://api.spotify.com/v1/audio-analysis/4RDKrwyA9YouzL1LxvMaxH,0.904,56470,0.253,4RDKrwyA9YouzL1LxvMaxH,0.744,0,0.109,-9.52,0,0.13,85.023,4,https://api.spotify.com/v1/tracks/4RDKrwyA9YouzL1LxvMaxH,audio_features,spotify:track:4RDKrwyA9YouzL1LxvMaxH,0.693,Dramadigs,Schehmetmoll,1,
49,0.918,https://api.spotify.com/v1/audio-analysis/34H7uClADHuEd3FSCa4uWj,0.531,147692,0.104,34H7uClADHuEd3FSCa4uWj,0.931,8,0.109,-22.271,1,0.0371,77.989,4,https://api.spotify.com/v1/tracks/34H7uClADHuEd3FSCa4uWj,audio_features,spotify:track:34H7uClADHuEd3FSCa4uWj,0.192,fantompower,tranquil wave,1,
50,0.273,https://api.spotify.com/v1/audio-analysis/6dYfTqwjAxH96ttGUbDZIc,0.684,100164,0.0356,6dYfTqwjAxH96ttGUbDZIc,0.796,11,0.118,-15.651,1,0.132,143.919,4,https://api.spotify.com/v1/tracks/6dYfTqwjAxH96ttGUbDZIc,audio_features,spotify:track:6dYfTqwjAxH96ttGUbDZIc,0.579,jhfly,calm,1,
51,0.896,https://api.spotify.com/v1/audio-analysis/1NkMslFN0v2U88djJg1XWf,0.713,120000,0.19,1NkMslFN0v2U88djJg1XWf,0.923,7,0.0963,-15.586,0,0.0625,78.018,4,https://api.spotify.com/v1/tracks/1NkMslFN0v2U88djJg1XWf,audio_features,spotify:track:1NkMslFN0v2U88djJg1XWf,0.29,Smoke Trees,Redux,1,
52,0.918,https://api.spotify.com/v1/audio-analysis/37i2zk7YQxvQZs0iGPCX3S,0.68,45427,0.0713,37i2zk7YQxvQZs0iGPCX3S,0.965,1,0.103,-20.632,1,0.126,84.982,4,https://api.spotify.com/v1/tracks/37i2zk7YQxvQZs0iGPCX3S,audio_features,spotify:track:37i2zk7YQxvQZs0iGPCX3S,0.426,Nion,Lovely,1,
805,0.46399999999999997,,0.535,178867,0.91,,9.32e-05,10,0.0745,-4.827,1,0.0328,111.027,4,,,,0.956,The Strange Boys,Be Brave,0,805.0
668,0.436,,0.862,198531,0.364,,0.0,11,0.0688,-9.727,0,0.13699999999999998,97.51,4,,,,0.7659999999999999,Sage The Gemini,Red Nose,0,668.0
1313,8.53e-05,,0.17,319582,0.866,,0.976,4,0.569,-7.303999999999999,1,0.10099999999999999,117.539,4,,,,0.11,Signs of the Swarm,Senseless Order,0,1313.0
692,0.42200000000000004,,0.42200000000000004,260276,0.6409999999999999,,0.0,10,0.317,-4.947,0,0.32299999999999995,187.02700000000002,3,,,,0.6679999999999999,Rocko,"U.O.E.N.O. (feat. Rick Ross, Future)",0,692.0
876,0.156,,0.8190000000000001,214154,0.6709999999999999,,0.000136,5,0.2,-6.947,0,0.39299999999999996,129.921,4,,,,0.555,Sango,Agorinha,0,876.0
593,0.0912,,0.748,275907,0.703,,0.0036,2,0.0635,-11.869000000000002,1,0.0663,110.615,4,,,,0.618,The Blackbyrds,Rock Creek Park,0,593.0
386,0.0301,,0.226,247027,0.261,,0.0677,2,0.0628,-11.276,1,0.0339,108.915,4,,,,0.0795,M83,Outro,0,386.0
1073,0.129,,0.69,181200,0.626,,0.0,7,0.16899999999999998,-5.831,1,0.0275,101.958,4,,,,0.652,Thomas Rhett,Star Of The Show,0,1073.0
2011,0.000586,,0.528,245053,0.879,,0.00489,6,0.0432,-5.891,0,0.12,128.268,4,,,,0.327,Icona Pop,Brightside - Borgeous Remix,0,2011.0
610,0.00318,,0.6629999999999999,146906,0.877,,0.00217,5,0.124,-3.37,0,0.0538,135.989,4,,,,0.396,Wiley,Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé],0,610.0
914,0.0154,,0.606,195307,0.9129999999999999,,0.905,9,0.326,-7.865,1,0.0417,146.15,4,,,,0.82,New Order,Dreams Never End - 2015 Remastered Version,0,914.0
1566,0.9359999999999999,,0.358,212493,0.16,,0.34,8,0.0896,-12.658,0,0.0352,179.955,3,,,,0.24600000000000002,Johnny Hodges,I Didn't Know About You,0,1566.0
212,0.00919,,0.45,201602,0.782,,0.10099999999999999,11,0.12300000000000001,-6.769,1,0.0364,173.954,4,,,,0.209,Cathedrals,Unbound,0,212.0
275,0.000304,,0.316,245880,0.748,,0.0139,2,0.608,-8.187000000000001,1,0.0413,79.337,4,,,,0.239,Washed Out,It All Feels Right,0,275.0
1925,0.0475,,0.5589999999999999,209413,0.868,,0.000176,5,0.7759999999999999,-5.276,1,0.17,156.295,4,,,,0.608,Queen,Don't Stop Me Now - Remastered 2011,0,1925.0
71,0.7829999999999999,,0.596,196627,0.639,,0.569,0,0.331,-6.546,1,0.03,124.012,4,,,,0.19699999999999998,Amadou & Mariam,Sabali,0,71.0
1340,1.56e-05,,0.493,258868,0.9640000000000001,,0.00733,1,0.727,-3.0789999999999997,1,0.0954,110.005,4,,,,0.17,Carnifex,Drown Me in Blood,0,1340.0
1951,0.267,,0.563,315787,0.847,,0.0,0,0.243,-6.19,1,0.325,82.757,4,,,,0.81,Michael Bolton,Can I Touch You...There?,0,1951.0
1194,0.555,,0.635,217419,0.691,,0.0,0,0.09699999999999999,-4.862,1,0.258,82.14200000000001,4,,,,0.63,Jason Derulo,Trumpets,0,1194.0
1026,0.0538,,0.5479999999999999,188293,0.877,,8.22e-06,7,0.314,-5.481,1,0.0367,84.009,4,,,,0.6940000000000001,Lady Antebellum,Heart Break,0,1026.0
384,0.000429,,0.782,351707,0.938,,0.121,10,0.11800000000000001,-8.692,0,0.05,118.086,4,,,,0.872,Bohannon,Lets Start the Dance,0,384.0
675,0.0352,,0.6970000000000001,172760,0.682,,0.0,7,0.664,-9.022,1,0.21899999999999997,155.74200000000002,4,,,,0.672,UGK,Players Anthem,0,675.0
501,0.23199999999999998,,0.612,212944,0.725,,0.011000000000000001,6,0.395,-5.775,0,0.0966,195.972,4,,,,0.153,Purity Ring,Obedear,0,501.0
1663,0.00281,,0.608,219398,0.878,,4.83e-06,0,0.415,-3.6310000000000002,1,0.0765,128.069,4,,,,0.326,Cosmic Gate,Falling Back - Radio Edit,0,1663.0
1594,0.995,,0.47100000000000003,82293,0.0148,,0.934,3,0.18100000000000002,-33.097,1,0.0558,102.271,3,,,,0.183,Edvard Grieg,"Lyric Pieces, Book I Op. 12: I. Arietta",0,1594.0
711,0.0017399999999999998,,0.67,174122,0.848,,0.00168,0,0.385,-5.103,0,0.0537,124.029,4,,,,0.46,Duke Dumont,Need U (100%) [feat. A*M*E] [Radio Edit],0,711.0
1896,0.00971,,0.498,215573,0.685,,0.775,3,0.365,-11.795,1,0.0394,112.49,4,,,,0.7809999999999999,The Breeders,Cannonball,0,1896.0
1236,0.0189,,0.475,195907,0.672,,0.0,0,0.11699999999999999,-5.925,1,0.0329,77.857,4,,,,0.382,Zach Williams,Chain Breaker,0,1236.0
1693,0.11900000000000001,,0.64,220781,0.5329999999999999,,0.0,0,0.0864,-6.596,1,0.0706,99.96799999999999,4,,,,0.5,Kygo,It Ain't Me (with Selena Gomez),0,1693.0
