,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,song_title,target,Unnamed: 0
45,0.0355,https://api.spotify.com/v1/audio-analysis/3HdcqQpq7zb5GbEKBDY34p,0.593,184347,0.926,3HdcqQpq7zb5GbEKBDY34p,0.0582,6,0.311,-5.361,0,0.0319,100.011,4,https://api.spotify.com/v1/tracks/3HdcqQpq7zb5GbEKBDY34p,audio_features,spotify:track:3HdcqQpq7zb5GbEKBDY34p,0.945,Fruit Bats,Humbug Mountain Song,1,
46,0.961,https://api.spotify.com/v1/audio-analysis/2I6K1Usw3hrt5eKDqnkCHA,0.622,241773,0.551,2I6K1Usw3hrt5eKDqnkCHA,0.787,4,0.141,-7.521,1,0.0348,119.61,3,https://api.spotify.com/v1/tracks/2I6K1Usw3hrt5eKDqnkCHA,audio_features,spotify:track:2I6K1Usw3hrt5eKDqnkCHA,0.375,Fruit Bats,Flamingo,1,
47,0.641,https://api.spotify.com/v1/audio-analysis/3hnQjMbQWgWsXQW7mqQFe7,0.558,224080,0.44,3hnQjMbQWgWsXQW7mqQFe7,0.00401,5,0.132,-8.205,1,0.03,140.637,4,https://api.spotify.com/v1/tracks/3hnQjMbQWgWsXQW7mqQFe7,audio_features,spotify:track:3hnQjMbQWgWsXQW7mqQFe7,0.67,Fruit Bats,Featherbed,1,
48,0.913,https://api.spotify.com/v1/audio-analysis/72qhn8Cxd4OXXFVxxf2vmi,0.524,170267,0.209,72qhn8Cxd4OXXFVxxf2vmi,0.00216,9,0.113,-10.955,1,0.0422,161.492,4,https://api.spotify.com/v1/tracks/72qhn8Cxd4OXXFVxxf2vmi,audio_features,spotify:track:72qhn8Cxd4OXXFVxxf2vmi,0.475,Fruit Bats,Singing Joy To The World,1,
49,0.0421,https://api.spotify.com/v1/audio-analysis/33ezCcBwVw2SsAvOsFyJSG,0.682,226120,0.837,33ezCcBwVw2SsAvOsFyJSG,0.313,7,0.322,-7.902,1,0.0374,79.598,4,https://api.spotify.com/v1/tracks/33ezCcBwVw2SsAvOsFyJSG,audio_features,spotify:track:33ezCcBwVw2SsAvOsFyJSG,0.886,Fruit Bats,You're Too Weird,1,
50,0.709,https://api.spotify.com/v1/audio-analysis/7nydElFeOUa6tXSh0EOenY,0.529,177640,0.384,7nydElFeOUa6tXSh0EOenY,0.00468,4,0.1,-8.942,0,0.0267,82.019,3,https://api.spotify.com/v1/tracks/7nydElFeOUa6tXSh0EOenY,audio_features,spotify:track:7nydElFeOUa6tXSh0EOenY,0.125,Fruit Bats,It Must Be Easy,1,
51,0.0243,https://api.spotify.com/v1/audio-analysis/6kilGxEfP0Y3z2bSbeGyZ0,0.364,201781,0.512,6kilGxEfP0Y3z2bSbeGyZ0,0.219,9,0.12,-6.242,1,0.038,141.47,4,https://api.spotify.com/v1/tracks/6kilGxEfP0Y3z2bSbeGyZ0,audio_features,spotify:track:6kilGxEfP0Y3z2bSbeGyZ0,0.857,Ty Segall,The Slider,1,
52,0.274,https://api.spotify.com/v1/audio-analysis/42WFbEm4QR0Gn0jh1AaBbm,0.641,133982,0.619,42WFbEm4QR0Gn0jh1AaBbm,8.87e-06,9,0.0903,-8.557,0,0.0439,114.337,4,https://api.spotify.com/v1/tracks/42WFbEm4QR0Gn0jh1AaBbm,audio_features,spotify:track:42WFbEm4QR0Gn0jh1AaBbm,0.469,Sonny & The Sunsets,Baby Jokin,1,
53,0.731,https://api.spotify.com/v1/audio-analysis/2wygBuUWMXrQujBBlwhDCL,0.79,199693,0.44,2wygBuUWMXrQujBBlwhDCL,0.000429,10,0.24,-10.572,1,0.0335,110.129,4,https://api.spotify.com/v1/tracks/2wygBuUWMXrQujBBlwhDCL,audio_features,spotify:track:2wygBuUWMXrQujBBlwhDCL,0.787,Sonny & The Sunsets,Too Young to Burn,1,
54,0.407,https://api.spotify.com/v1/audio-analysis/1cftVbINEW0cPvULE0uLeZ,0.646,192711,0.622,1cftVbINEW0cPvULE0uLeZ,0.000816,0,0.291,-6.358,1,0.0267,110.475,4,https://api.spotify.com/v1/tracks/1cftVbINEW0cPvULE0uLeZ,audio_features,spotify:track:1cftVbINEW0cPvULE0uLeZ,0.692,Sonny & The Sunsets,Secret Plot,1,
